Línea,idioma,tema,tiempo de espera en IVR,tiempo de conversación,tipo de usuario,motivo de la llamada
General-Ciudad1-Gestor1,Español,Satisfacción,15,7,Cliente Activo,El cliente llama para expresar su insatisfacción con la velocidad del internet.
Individual-Ciudad2-Gestor2,Inglés,Dudas,20,12,Nuevo Cliente,El cliente tiene preguntas sobre cómo configurar su nuevo router.
General-Ciudad3-Gestor3,Español,Problema,5,8,Cliente Activo,El cliente reporta que el servicio de internet está interrumpido.
Individual-Ciudad4-Gestor4,Francés,Publicidad,8,6,Otro,El cliente quiere información sobre nuevas ofertas y promociones.
General-Ciudad5-Gestor5,Español,Satisfacción,30,15,Cliente Activo,El cliente está satisfecho con el servicio pero tiene un problema ocasional.
Individual-Ciudad6-Gestor6,Inglés,Dudas,25,20,Nuevo Cliente,El cliente necesita ayuda con el ajuste de las configuraciones avanzadas del servicio.
General-Ciudad7-Gestor7,Español,Problema,10,10,Cliente Activo,El cliente tiene problemas con la conexión que se corta frecuentemente.
Individual-Ciudad8-Gestor8,Alemán,Publicidad,12,9,Otro,El cliente pregunta por las nuevas promociones y paquetes disponibles.
General-Ciudad9-Gestor9,Español,Satisfacción,18,14,Cliente Activo,El cliente está feliz con el servicio pero tiene una queja menor sobre el soporte técnico.
Individual-Ciudad10-Gestor10,Francés,Dudas,22,18,Nuevo Cliente,El cliente solicita información sobre la compatibilidad del servicio con su equipo.
General-Ciudad11-Gestor11,Inglés,Problema,7,11,Cliente Activo,El cliente reporta problemas técnicos continuos con el servicio.
Individual-Ciudad12-Gestor12,Español,Publicidad,14,10,Otro,El cliente quiere conocer los detalles sobre la última campaña de publicidad.
General-Ciudad13-Gestor13,Alemán,Satisfacción,25,16,Cliente Activo,El cliente está satisfecho con el servicio y solo tiene preguntas sobre características adicionales.
Individual-Ciudad14-Gestor14,Inglés,Dudas,17,15,Nuevo Cliente,El cliente tiene dudas sobre los cargos en su factura inicial.
General-Ciudad15-Gestor15,Español,Problema,20,13,Cliente Activo,El cliente está experimentando interrupciones frecuentes en su conexión.
Individual-Ciudad16-Gestor16,Francés,Publicidad,10,7,Otro,El cliente quiere saber más sobre los paquetes publicitarios recientes.
General-Ciudad17-Gestor17,Español,Satisfacción,8,9,Cliente Activo,El cliente está satisfecho pero reporta un problema ocasional en la velocidad.
Individual-Ciudad18-Gestor18,Inglés,Dudas,26,22,Nuevo Cliente,El cliente pregunta sobre el proceso de instalación y configuración del servicio.
General-Ciudad19-Gestor19,Alemán,Problema,15,12,Cliente Activo,El cliente reporta que la conexión está más lenta de lo habitual.
Individual-Ciudad20-Gestor20,Español,Publicidad,12,8,Otro,El cliente busca información sobre promociones y ofertas actuales.
General-Ciudad21-Gestor21,Francés,Satisfacción,9,11,Cliente Activo,El cliente está satisfecho pero desea aclarar algunas dudas sobre el servicio.
Individual-Ciudad22-Gestor22,Inglés,Dudas,20,17,Nuevo Cliente,El cliente necesita ayuda para entender los términos y condiciones del contrato.
General-Ciudad23-Gestor23,Español,Problema,11,10,Cliente Activo,El cliente reporta problemas con el servicio de televisión por cable.
Individual-Ciudad24-Gestor24,Alemán,Publicidad,14,9,Otro,El cliente quiere información sobre la última oferta de paquetes de internet.
General-Ciudad25-Gestor25,Inglés,Satisfacción,18,13,Cliente Activo,El cliente está satisfecho con el servicio pero tiene algunas sugerencias para mejorar.
Individual-Ciudad26-Gestor26,Francés,Dudas,25,19,Nuevo Cliente,El cliente tiene dudas sobre la política de cancelación del servicio.
General-Ciudad27-Gestor27,Español,Problema,9,12,Cliente Activo,El cliente está experimentando problemas con la calidad de la conexión.
Individual-Ciudad28-Gestor28,Alemán,Publicidad,16,11,Otro,El cliente pregunta sobre las campañas publicitarias vigentes.
General-Ciudad29-Gestor29,Inglés,Satisfacción,14,14,Cliente Activo,El cliente está satisfecho pero desea hacer una sugerencia sobre el soporte técnico.
Individual-Ciudad30-Gestor30,Español,Dudas,22,15,Nuevo Cliente,El cliente tiene preguntas sobre el uso de la aplicación móvil.
General-Ciudad31-Gestor31,Francés,Problema,12,13,Cliente Activo,El cliente reporta interrupciones en el servicio de internet.
Individual-Ciudad32-Gestor32,Alemán,Publicidad,10,8,Otro,El cliente busca información sobre las últimas ofertas publicitarias.
General-Ciudad33-Gestor33,Español,Satisfacción,20,17,Cliente Activo,El cliente está satisfecho pero ha tenido algunos problemas menores con el servicio.
Individual-Ciudad34-Gestor34,Inglés,Dudas,15,12,Nuevo Cliente,El cliente tiene dudas sobre los cargos adicionales en su factura.
General-Ciudad35-Gestor35,Francés,Problema,13,10,Cliente Activo,El cliente reporta problemas con la velocidad de conexión.
Individual-Ciudad36-Gestor36,Alemán,Publicidad,11,9,Otro,El cliente quiere conocer más sobre la campaña de publicidad reciente.
General-Ciudad37-Gestor37,Español,Satisfacción,18,14,Cliente Activo,El cliente está satisfecho pero tiene algunas preguntas sobre el uso del servicio.
